0.5 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.818 No. of Outliers: 73, Clusters : 6, Silhoutte -0.012500000186264515
0.819 No. of Outliers: 73, Clusters : 6, Silhoutte -0.012500000186264515
0.82 No. of Outliers: 73, Clusters : 6, Silhoutte -0.012500000186264515
0.821 No. of Outliers: 70, Clusters : 7, Silhoutte -0.008500000461935997
0.822 No. of Outliers: 70, Clusters : 7, Silhoutte -0.008500000461935997
0.823 No. of Outliers: 70, Clusters : 7, Silhoutte -0.008500000461935997
0.824 No. of Outliers: 70, Clusters : 7, Silhoutte -0.008500000461935997
0.825 No. of Outliers: 70, Clusters : 7, Silhoutte -0.008500000461935997
0.826 No. of Outliers: 70, Clusters : 7, Silhoutte -0.008500000461935997
0.827 No. of Outliers: 70, Clusters : 7, Silhoutte -0.008500000461935997
0.828 No. of Outliers: 70, Clusters : 7, Silhoutte -0.008500000461935997
0.829 No. of Outliers: 70, Clusters : 6, Silhoutte -0.024900000542402267
0.83 No. of Outliers: 70, Clusters : 6, Silhoutte -0.024900000542402267
0.831 No. of Outliers: 70, Clusters : 6, Silhoutte -0.024900000542402267
0.832 No. of Outliers: 70, Clusters : 5, Silhoutte -0.01510000042617321
0.833 No. of Outliers: 70, Clusters : 5, Silhoutte -0.01510000042617321
0.834 No. of Outliers: 70, Clusters : 5, Silhoutte -0.01510000042617321
0.835 No. of Outliers: 69, Clusters : 5, Silhoutte -0.00800000037997961
0.836 No. of Outliers: 69, Clusters : 5, Silhoutte -0.00800000037997961
0.837 No. of Outliers: 66, Clusters : 6, Silhoutte -0.0215000007301569
0.838 No. of Outliers: 66, Clusters : 6, Silhoutte -0.0215000007301569
0.839 No. of Outliers: 66, Clusters : 6, Silhoutte -0.0215000007301569
0.84 No. of Outliers: 66, Clusters : 6, Silhoutte -0.0215000007301569
0.841 No. of Outliers: 66, Clusters : 6, Silhoutte -0.0215000007301569
0.842 No. of Outliers: 66, Clusters : 6, Silhoutte -0.0215000007301569
0.843 No. of Outliers: 66, Clusters : 6, Silhoutte -0.0215000007301569
0.844 No. of Outliers: 66, Clusters : 6, Silhoutte -0.0215000007301569
0.845 No. of Outliers: 66, Clusters : 6, Silhoutte -0.0215000007301569
0.846 No. of Outliers: 66, Clusters : 5, Silhoutte -0.0032999999821186066
0.847 No. of Outliers: 66, Clusters : 5, Silhoutte -0.0032999999821186066
0.848 No. of Outliers: 66, Clusters : 5, Silhoutte -0.0032999999821186066
0.849 No. of Outliers: 66, Clusters : 5, Silhoutte -0.0032999999821186066
0.85 No. of Outliers: 65, Clusters : 5, Silhoutte 0.003599999938160181
0.851 No. of Outliers: 65, Clusters : 5, Silhoutte 0.003599999938160181
0.852 No. of Outliers: 65, Clusters : 5, Silhoutte 0.003599999938160181
0.853 No. of Outliers: 65, Clusters : 5, Silhoutte 0.003599999938160181
0.854 No. of Outliers: 65, Clusters : 5, Silhoutte 0.003599999938160181
0.855 No. of Outliers: 63, Clusters : 5, Silhoutte -0.00019999999494757503
0.856 No. of Outliers: 63, Clusters : 5, Silhoutte -0.00019999999494757503
0.857 No. of Outliers: 63, Clusters : 5, Silhoutte -0.00019999999494757503
0.858 No. of Outliers: 63, Clusters : 4, Silhoutte 0.00800000037997961
